Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
21-09-2018,ADANIGREEN,EQ,51.8,52.5,52.8,49.25,49.25,49.25,50.01,871518,4.35852E+12,3916,667429,0.7658
24-09-2018,ADANIGREEN,EQ,49.25,48.8,48.8,46.8,46.8,46.8,46.91,298844,1.40193E+12,1624,174766,0.5848
25-09-2018,ADANIGREEN,EQ,46.8,44.55,46.65,44.5,44.9,44.55,44.68,554878,2.4794E+12,2299,269686,0.486
26-09-2018,ADANIGREEN,EQ,44.55,46.45,46.75,44.6,45.3,45.2,45.99,757920,3.48548E+12,4251,358984,0.4736
27-09-2018,ADANIGREEN,EQ,45.2,45.95,45.95,42.95,42.95,42.95,43.76,370953,1.62318E+12,2777,247229,0.6665
28-09-2018,ADANIGREEN,EQ,42.95,42.95,43.3,40.85,40.85,40.85,41.02,241990,9.92707E+11,1086,155533,0.6427
01-10-2018,ADANIGREEN,EQ,40.85,38.85,40.75,38.85,38.85,39.2,39.1,715774,2.79882E+12,1631,510760,0.7136
03-10-2018,ADANIGREEN,EQ,39.2,40,40,37.25,37.25,37.25,37.83,610429,2.30901E+12,3620,403077,0.6603
04-10-2018,ADANIGREEN,EQ,37.25,35.4,35.4,35.4,35.4,35.4,35.4,103762,3.67317E+11,490,103762,1
05-10-2018,ADANIGREEN,EQ,35.4,33.65,33.65,33.65,33.65,33.65,33.65,80519,2.70946E+11,455,80519,1
08-10-2018,ADANIGREEN,EQ,33.65,32.75,33.1,32,32,32,32.25,1125121,3.62869E+12,2116,566415,0.5034
09-10-2018,ADANIGREEN,EQ,32,30.4,32.1,30.4,30.4,30.4,30.85,1129990,3.48593E+12,3947,613668,0.5431
10-10-2018,ADANIGREEN,EQ,30.4,29.1,31.9,29.1,31.9,31.9,30.74,310963,9.55943E+11,598,260280,0.837
11-10-2018,ADANIGREEN,EQ,31.9,32.9,33.45,32.05,33.45,33.45,33.13,351022,1.16304E+12,838,290739,0.8283
12-10-2018,ADANIGREEN,EQ,33.45,35.1,35.1,35.1,35.1,35.1,35.1,170930,5.99964E+11,331,104319,0.6103
